Pokémon,Dex,Icons,Shiny,Male,Female,Type 1,Type 2,Hatch Steps,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Special Ability,Egg Moves,,,,,,,,,,,,,,,,Abilities,Nature,Stat Up,Stat Down,Types,Sprite,Moves,Type,Ball,Big,Sprite,Item,Sprite,Shiny,Gender,Stat,31,<31,Event Name,Event Link
Gorebyss,368,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 1,----,Swift Swim,----,Hydration,----,Barrier,Body Slam,Confuse Ray,Endure,Mud Sport,Muddy Water,Refresh,Supersonic,,,,,,,,,,,,,,,Spacial Rend,Dragon,,,,Steelium Z,,,,,,,,
Relicanth,369,,,♂ 88.1%,♀ 11.9%,Water,Rock,"10,240",Water 1,Water 2,Swift Swim,Rock Head,Sturdy,----,Amnesia,Aqua Tail,Brine,Magnitude,Mud Shot,Mud-Slap,Muddy Water,Skull Bash,Snore,Water Sport,Zen Headbutt,,,,,,,,,,,,Lunar Dance,Psychic,,,,Tapunium Z,,,,,,,,
Luvdisc,370,,,♂ 25%,♀ 75%,Water,----,"5,120",Water 2,----,Swift Swim,----,Hydration,----,Aqua Jet,Brine,Entrainment,Heal Pulse,Mud Sport,Splash,Supersonic,Water Sport,,,,,,,,,,,,,,,Crush Grip,Normal,,,,Ultranecrozium Z,,,,,,,,
Bagon,371,,,♂ 50%,♀ 50%,Dragon,----,"10,240",Dragon,----,Rock Head,----,Sheer Force,----,Defense Curl,Dragon Dance,Dragon Pulse,Dragon Rage,Dragon Rush,Endure,Hydro Pump,Thrash,Twister,,,,,,,,,,,,,,Magma Storm,Fire,,,,Waterium Z,,,,,,,,
Shelgon,372,,,♂ 50%,♀ 50%,Dragon,----,"10,240",Dragon,----,Rock Head,----,Overcoat,----,Defense Curl,Dragon Dance,Dragon Pulse,Dragon Rage,Dragon Rush,Endure,Hydro Pump,Thrash,Twister,,,,,,,,,,,,,,Dark Void,Dark,,,,,,,,,,,,
Salamence,373,,,♂ 50%,♀ 50%,Dragon,Flying,"10,240",Dragon,----,Intimidate,----,Moxie,----,Defense Curl,Dragon Dance,Dragon Pulse,Dragon Rage,Dragon Rush,Endure,Hydro Pump,Thrash,Twister,,,,,,,,,,,,,,Seed Flare,Grass,,,,,,,,,,,,
Mega Salamence,373,,,♂ 50%,♀ 50%,Dragon,Flying,"10,240",Dragon,----,Aerilate,----,----,----,Defense Curl,Dragon Dance,Dragon Pulse,Dragon Rage,Dragon Rush,Endure,Hydro Pump,Thrash,Twister,,,,,,,,,,,,,,Ominous Wind,Ghost,,,,,,,,,,,,
Beldum,374,,,○,○,Steel,Psychic,"10,240",Mineral,----,Clear Body,----,Light Metal,----,,,,,,,,,,,,,,,,,,,,,,,Shadow Force,Ghost,,,,,,,,,,,,
Metang,375,,,○,○,Steel,Psychic,"10,240",Mineral,----,Clear Body,----,Light Metal,----,,,,,,,,,,,,,,,,,,,,,,,Hone Claws,Dark,,,,,,,,,,,,
Metagross,376,,,○,○,Steel,Psychic,"10,240",Mineral,----,Clear Body,----,Light Metal,----,,,,,,,,,,,,,,,,,,,,,,,Wide Guard,Rock,,,,,,,,,,,,
Mega Metagross,376,,,○,○,Steel,Psychic,"10,240",Mineral,----,Tough Claws,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Guard Split,Psychic,,,,,,,,,,,,
Regirock,377,,,○,○,Rock,----,"20,480",Undiscovered,----,Clear Body,----,Sturdy,----,,,,,,,,,,,,,,,,,,,,,,,Power Split,Psychic,,,,,,,,,,,,
Regice,378,,,○,○,Ice,----,"20,480",Undiscovered,----,Clear Body,----,Ice Body,----,,,,,,,,,,,,,,,,,,,,,,,Wonder Room,Psychic,,,,,,,,,,,,
Registeel,379,,,○,○,Steel,----,"20,480",Undiscovered,----,Clear Body,----,Light Metal,----,,,,,,,,,,,,,,,,,,,,,,,Psyshock,Psychic,,,,,,,,,,,,
Latias,380,,,♂ 0%,♀ 100%,Dragon,Psychic,"30,720",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Venoshock,Poison,,,,,,,,,,,,
Mega Latias,380,,,♂ 0%,♀ 100%,Dragon,Psychic,"30,720",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Autotomize,Steel,,,,,,,,,,,,
Latios,381,,,♂ 100%,♀ 0%,Dragon,Psychic,"30,720",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Rage Powder,Bug,,,,,,,,,,,,
Mega Latios,381,,,♂ 100%,♀ 0%,Dragon,Psychic,"30,720",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Telekinesis,Psychic,,,,,,,,,,,,
Kyogre,382,,,○,○,Water,----,"30,720",Undiscovered,----,Drizzle,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Magic Room,Psychic,,,,,,,,,,,,
Primal Kyogre,382,,,○,○,Water,----,"30,720",Undiscovered,----,Primordial Sea,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Smack Down,Rock,,,,,,,,,,,,
Groudon,383,,,○,○,Ground,----,"30,720",Undiscovered,----,Drought,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Storm Throw,Fighting,,,,,,,,,,,,
Primal Groudon,383,,,○,○,Ground,Fire,"30,720",Undiscovered,----,Desolate Land,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Flame Burst,Fire,,,,,,,,,,,,
Rayquaza,384,,,○,○,Dragon,Flying,"30,720",Undiscovered,----,Air Lock,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Sludge Wave,Poison,,,,,,,,,,,,
Mega Rayquaza,384,,,○,○,Dragon,Flying,"30,720",Undiscovered,----,Delta Stream,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Quiver Dance,Bug,,,,,,,,,,,,
Jirachi,385,,,○,○,Steel,Psychic,"30,720",Undiscovered,----,Serene Grace,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Heavy Slam,Steel,,,,,,,,,,,,
Deoxys,386,,,○,○,Psychic,----,"30,720",Undiscovered,----,Pressure,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Synchronoise,Psychic,,,,,,,,,,,,
Deoxys-Attack,386,,,○,○,Psychic,----,"30,720",Undiscovered,----,Pressure,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Electro Ball,Electric,,,,,,,,,,,,
Deoxys-Defense,386,,,○,○,Psychic,----,"30,720",Undiscovered,----,Pressure,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Soak,Water,,,,,,,,,,,,
Deoxys-Speed,386,,,○,○,Psychic,----,"30,720",Undiscovered,----,Pressure,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Flame Charge,Fire,,,,,,,,,,,,
Turtwig,387,,,♂ 88.1%,♀ 11.9%,Grass,----,"5,120",Monster,Grass,Overgrow,----,Shell Armor,----,Amnesia,Body Slam,Double-Edge,Earth Power,Grassy Terrain,Growth,Sand Tomb,Seed Bomb,Spit Up,Stockpile,Superpower,Swallow,Thrash,Tickle,Wide Guard,Worry Seed,,,,,,,Coil,Poison,,,,,,,,,,,,
Grotle,388,,,♂ 88.1%,♀ 11.9%,Grass,----,"5,120",Monster,Grass,Overgrow,----,Shell Armor,----,Amnesia,Body Slam,Double-Edge,Earth Power,Grassy Terrain,Growth,Sand Tomb,Seed Bomb,Spit Up,Stockpile,Superpower,Swallow,Thrash,Tickle,Wide Guard,Worry Seed,,,,,,,Low Sweep,Fighting,,,,,,,,,,,,
Torterra,389,,,♂ 88.1%,♀ 11.9%,Grass,Ground,"5,120",Monster,Grass,Overgrow,----,Shell Armor,----,Amnesia,Body Slam,Double-Edge,Earth Power,Grassy Terrain,Growth,Sand Tomb,Seed Bomb,Spit Up,Stockpile,Superpower,Swallow,Thrash,Tickle,Wide Guard,Worry Seed,,,,,,,Acid Spray,Poison,,,,,,,,,,,,
Chimchar,390,,,♂ 88.1%,♀ 11.9%,Fire,----,"5,120",Field,Human-Like,Blaze,----,Iron Fist,----,Assist,Blaze Kick,Counter,Double Kick,Encore,Fake Out,Fire Punch,Focus Energy,Focus Punch,Heat Wave,Helping Hand,Quick Guard,Submission,Thunder Punch,,,,,,,,,Foul Play,Dark,,,,,,,,,,,,
Monferno,391,,,♂ 88.1%,♀ 11.9%,Fire,Fighting,"5,120",Field,Human-Like,Blaze,----,Iron Fist,----,Assist,Blaze Kick,Counter,Double Kick,Encore,Fake Out,Fire Punch,Focus Energy,Focus Punch,Heat Wave,Helping Hand,Quick Guard,Submission,Thunder Punch,,,,,,,,,Simple Beam,Normal,,,,,,,,,,,,
Infernape,392,,,♂ 88.1%,♀ 11.9%,Fire,Fighting,"5,120",Field,Human-Like,Blaze,----,Iron Fist,----,Assist,Blaze Kick,Counter,Double Kick,Encore,Fake Out,Fire Punch,Focus Energy,Focus Punch,Heat Wave,Helping Hand,Quick Guard,Submission,Thunder Punch,,,,,,,,,Entrainment,Normal,,,,,,,,,,,,
Piplup,393,,,♂ 88.1%,♀ 11.9%,Water,----,"5,120",Water 1,Field,Torrent,----,Defiant,----,Agility,Aqua Ring,Double Hit,Feather Dance,Flail,Icy Wind,Mud Sport,Mud-Slap,Snore,Supersonic,Yawn,,,,,,,,,,,,After You,Normal,,,,,,,,,,,,
Prinplup,394,,,♂ 88.1%,♀ 11.9%,Water,----,"5,120",Water 1,Field,Torrent,----,Defiant,----,Agility,Aqua Ring,Double Hit,Feather Dance,Flail,Icy Wind,Mud Sport,Mud-Slap,Snore,Supersonic,Yawn,,,,,,,,,,,,Round,Normal,,,,,,,,,,,,
Empoleon,395,,,♂ 88.1%,♀ 11.9%,Water,Steel,"5,120",Water 1,Field,Torrent,----,Defiant,----,Agility,Aqua Ring,Double Hit,Feather Dance,Flail,Icy Wind,Mud Sport,Mud-Slap,Snore,Supersonic,Yawn,,,,,,,,,,,,Echoed Voice,Normal,,,,,,,,,,,,
Starly,396,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Keen Eye,----,Reckless,----,Astonish,Detect,Double-Edge,Feather Dance,Foresight,Fury Attack,Mirror Move,Pursuit,Revenge,Sand Attack,Uproar,,,,,,,,,,,,Chip Away,Normal,,,,,,,,,,,,
Staravia,397,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Intimidate,----,Reckless,----,Astonish,Detect,Double-Edge,Feather Dance,Foresight,Fury Attack,Mirror Move,Pursuit,Revenge,Sand Attack,Uproar,,,,,,,,,,,,Clear Smog,Poison,,,,,,,,,,,,
Staraptor,398,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Intimidate,----,Reckless,----,Astonish,Detect,Double-Edge,Feather Dance,Foresight,Fury Attack,Mirror Move,Pursuit,Revenge,Sand Attack,Uproar,,,,,,,,,,,,Stored Power,Psychic,,,,,,,,,,,,
Bidoof,399,,,♂ 50%,♀ 50%,Normal,----,"3,840",Water 1,Field,Simple,Unaware,Moody,----,Aqua Tail,Double-Edge,Endure,Fury Swipes,Odor Sleuth,Quick Attack,Rock Climb,Skull Bash,Water Sport,,,,,,,,,,,,,,Quick Guard,Fighting,,,,,,,,,,,,
Bibarel,400,,,♂ 50%,♀ 50%,Normal,Water,"3,840",Water 1,Field,Simple,Unaware,Moody,----,Aqua Tail,Double-Edge,Endure,Fury Swipes,Odor Sleuth,Quick Attack,Rock Climb,Skull Bash,Water Sport,,,,,,,,,,,,,,Ally Switch,Psychic,,,,,,,,,,,,
Kricketot,401,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Shed Skin,----,Run Away,----,,,,,,,,,,,,,,,,,,,,,,,Scald,Water,,,,,,,,,,,,
Kricketune,402,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Swarm,----,Technician,----,,,,,,,,,,,,,,,,,,,,,,,Shell Smash,Normal,,,,,,,,,,,,
Shinx,403,,,♂ 50%,♀ 50%,Electric,----,"5,120",Field,----,Rivalry,Intimidate,Guts,----,Double Kick,Eerie Impulse,Fake Tears,Fire Fang,Helping Hand,Howl,Ice Fang,Night Slash,Quick Attack,Shock Wave,Signal Beam,Swift,Take Down,,,,,,,,,,Heal Pulse,Psychic,,,,,,,,,,,,
Luxio,404,,,♂ 50%,♀ 50%,Electric,----,"5,120",Field,----,Rivalry,Intimidate,Guts,----,Double Kick,Eerie Impulse,Fake Tears,Fire Fang,Helping Hand,Howl,Ice Fang,Night Slash,Quick Attack,Shock Wave,Signal Beam,Swift,Take Down,,,,,,,,,,Hex,Ghost,,,,,,,,,,,,
Luxray,405,,,♂ 50%,♀ 50%,Electric,----,"5,120",Field,----,Rivalry,Intimidate,Guts,----,Double Kick,Eerie Impulse,Fake Tears,Fire Fang,Helping Hand,Howl,Ice Fang,Night Slash,Quick Attack,Shock Wave,Signal Beam,Swift,Take Down,,,,,,,,,,Sky Drop,Flying,,,,,,,,,,,,
Budew,406,,,♂ 50%,♀ 50%,Grass,Poison,"5,120",Undiscovered,----,Natural Cure,Poison Point,Leaf Guard,----,Cotton Spore,Extrasensory,Leaf Storm,Mind Reader,Natural Gift,Pin Missile,Razor Leaf,Seed Bomb,Sleep Powder,Spikes,,,,,,,,,,,,,Shift Gear,Steel,,,,,,,,,,,,
Roserade,407,,,♂ 50%,♀ 50%,Grass,Poison,"5,120",Fairy,Grass,Natural Cure,Poison Point,Technician,----,Bullet Seed,Cotton Spore,Leaf Storm,Mind Reader,Natural Gift,Pin Missile,Razor Leaf,Seed Bomb,Sleep Powder,Spikes,,,,,,,,,,,,,Circle Throw,Fighting,,,,,,,,,,,,
Cranidos,408,,,♂ 88.1%,♀ 11.9%,Rock,----,"7,680",Monster,----,Mold Breaker,----,Sheer Force,----,Crunch,Curse,Double-Edge,Hammer Arm,Iron Head,Iron Tail,Slam,Stomp,Thrash,Whirlwind,,,,,,,,,,,,,Incinerate,Fire,,,,,,,,,,,,
Rampardos,409,,,♂ 88.1%,♀ 11.9%,Rock,----,"7,680",Monster,----,Mold Breaker,----,Sheer Force,----,Crunch,Curse,Double-Edge,Hammer Arm,Iron Head,Iron Tail,Slam,Stomp,Thrash,Whirlwind,,,,,,,,,,,,,Quash,Dark,,,,,,,,,,,,
Shieldon,410,,,♂ 88.1%,♀ 11.9%,Rock,Steel,"7,680",Monster,----,Sturdy,----,Soundproof,----,Body Slam,Counter,Curse,Double-Edge,Fissure,Focus Energy,Guard Split,Headbutt,Rock Blast,Scary Face,Screech,Stealth Rock,Wide Guard,,,,,,,,,,Acrobatics,Flying,,,,,,,,,,,,
Bastiodon,411,,,♂ 88.1%,♀ 11.9%,Rock,Steel,"7,680",Monster,----,Sturdy,----,Soundproof,----,Body Slam,Counter,Curse,Double-Edge,Fissure,Focus Energy,Guard Split,Headbutt,Rock Blast,Scary Face,Screech,Stealth Rock,Wide Guard,,,,,,,,,,Reflect Type,Normal,,,,,,,,,,,,
Plant Burmy,412,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Shed Skin,----,Overcoat,----,,,,,,,,,,,,,,,,,,,,,,,Retaliate,Normal,,,,,,,,,,,,
Trash Burmy,412,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Shed Skin,----,Overcoat,----,,,,,,,,,,,,,,,,,,,,,,,Final Gambit,Fighting,,,,,,,,,,,,
Sand Burmy,412,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Shed Skin,----,Overcoat,----,,,,,,,,,,,,,,,,,,,,,,,Bestow,Normal,,,,,,,,,,,,
Plant Wormadam,413,,,♂ 50%,♀ 50%,Bug,Grass,"3,840",Bug,----,Anticipation,----,Overcoat,----,,,,,,,,,,,,,,,,,,,,,,,Inferno,Fire,,,,,,,,,,,,
Trash Wormadam,413,,,♂ 50%,♀ 50%,Bug,Steel,"3,840",Bug,----,Anticipation,----,Overcoat,----,,,,,,,,,,,,,,,,,,,,,,,Water Pledge,Water,,,,,,,,,,,,
Sand Wormadam,413,,,♂ 50%,♀ 50%,Bug,Ground,"3,840",Bug,----,Anticipation,----,Overcoat,----,,,,,,,,,,,,,,,,,,,,,,,Fire Pledge,Fire,,,,,,,,,,,,
Mothim,414,,,♂ 100%,♀ 0%,Bug,Flying,"3,840",Bug,----,Swarm,----,Tinted Lens,----,,,,,,,,,,,,,,,,,,,,,,,Grass Pledge,Grass,,,,,,,,,,,,
Combee,415,,,♂ 88.1%,♀ 11.9%,Bug,Flying,"3,840",Bug,----,Honey Gather,----,Hustle,----,,,,,,,,,,,,,,,,,,,,,,,Volt Switch,Electric,,,,,,,,,,,,
Vespiquen,416,,,♂ 0%,♀ 100%,Bug,Flying,"3,840",Bug,----,Pressure,----,Unnerve,----,,,,,,,,,,,,,,,,,,,,,,,Struggle Bug,Bug,,,,,,,,,,,,
Pachirisu,417,,,♂ 50%,♀ 50%,Electric,----,"2,560",Field,Fairy,Run Away,Pickup,Volt Absorb,----,Bestow,Bite,Charge,Covet,Defense Curl,Fake Tears,Flail,Flatter,Follow Me,Ion Deluge,Iron Tail,Rollout,Tail Whip,,,,,,,,,,Bulldoze,Ground,,,,,,,,,,,,
Buizel,418,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 1,Field,Swift Swim,----,Water Veil,----,Aqua Ring,Baton Pass,Double Slap,Fury Cutter,Fury Swipes,Headbutt,Me First,Mud-Slap,Odor Sleuth,Slash,Soak,Switcheroo,Tail Slap,,,,,,,,,,Frost Breath,Ice,,,,,,,,,,,,
Floatzel,419,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 1,Field,Swift Swim,----,Water Veil,----,Aqua Ring,Baton Pass,Double Slap,Fury Cutter,Fury Swipes,Headbutt,Me First,Mud-Slap,Odor Sleuth,Slash,Soak,Switcheroo,Tail Slap,,,,,,,,,,Dragon Tail,Dragon,,,,,,,,,,,,
Cherubi,420,,,♂ 50%,♀ 50%,Grass,----,"5,120",Fairy,Grass,Chlorophyll,----,----,----,Aromatherapy,Defense Curl,Flower Shield,Grass Whistle,Heal Pulse,Healing Wish,Natural Gift,Razor Leaf,Rollout,Seed Bomb,Sweet Scent,Tickle,Weather Ball,,,,,,,,,,Work Up,Normal,,,,,,,,,,,,
Cherrim,421,,,♂ 50%,♀ 50%,Grass,----,"5,120",Fairy,Grass,Flower Gift,----,----,----,Aromatherapy,Defense Curl,Flower Shield,Grass Whistle,Heal Pulse,Healing Wish,Natural Gift,Razor Leaf,Rollout,Seed Bomb,Sweet Scent,Tickle,Weather Ball,,,,,,,,,,Electroweb,Electric,,,,,,,,,,,,
West Shellos,422,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 1,Amorphous,Sticky Hold,Storm Drain,Sand Force,----,Acid Armor,Amnesia,Brine,Clear Smog,Counter,Curse,Fissure,Memento,Mirror Coat,Mist,Sludge,Spit Up,Stockpile,Swallow,Trump Card,Yawn,,,,,,,Wild Charge,Electric,,,,,,,,,,,,
East Shellos,422,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 1,Amorphous,Sticky Hold,Storm Drain,Sand Force,----,Acid Armor,Amnesia,Brine,Clear Smog,Counter,Curse,Fissure,Memento,Mirror Coat,Mist,Sludge,Spit Up,Stockpile,Swallow,Trump Card,Yawn,,,,,,,Drill Run,Ground,,,,,,,,,,,,
West Gastrodon,423,gastrodon,,♂ 50%,♀ 50%,Water,Ground,"5,120",Water 1,Amorphous,Sticky Hold,Storm Drain,Sand Force,----,Acid Armor,Amnesia,Brine,Clear Smog,Counter,Curse,Fissure,Memento,Mirror Coat,Mist,Sludge,Spit Up,Stockpile,Swallow,Trump Card,Yawn,,,,,,,Dual Chop,Dragon,,,,,,,,,,,,
East Gastrodon,423,gastrodon-east,,♂ 50%,♀ 50%,Water,Ground,"5,120",Water 1,Amorphous,Sticky Hold,Storm Drain,Sand Force,----,Acid Armor,Amnesia,Brine,Clear Smog,Counter,Curse,Fissure,Memento,Mirror Coat,Mist,Sludge,Spit Up,Stockpile,Swallow,Trump Card,Yawn,,,,,,,Heart Stamp,Psychic,,,,,,,,,,,,
Ambipom,424,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,----,Technician,Pickup,Skill Link,----,Beat Up,Bounce,Counter,Covet,Double Slap,Fake Out,Pursuit,Quick Guard,Revenge,Slam,Spite,Switcheroo,,,,,,,,,,,Horn Leech,Grass,,,,,,,,,,,,
Drifloon,425,,,♂ 50%,♀ 50%,Ghost,Flying,"7,680",Amorphous,----,Aftermath,Unburden,Flare Boost,----,Body Slam,Clear Smog,Defog,Destiny Bond,Disable,Haze,Hypnosis,Memento,Tailwind,Weather Ball,,,,,,,,,,,,,Sacred Sword,Fighting,,,,,,,,,,,,
Drifblim,426,,,♂ 50%,♀ 50%,Ghost,Flying,"7,680",Amorphous,----,Aftermath,Unburden,Flare Boost,----,Body Slam,Clear Smog,Defog,Destiny Bond,Disable,Haze,Hypnosis,Memento,Tailwind,Weather Ball,,,,,,,,,,,,,Razor Shell,Water,,,,,,,,,,,,
Buneary,427,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,Human-Like,Run Away,Klutz,Limber,----,Circle Throw,Copycat,Cosmic Power,Double Hit,Encore,Fake Out,Fake Tears,Fire Punch,Flail,Focus Punch,Ice Punch,Low Kick,Mud Sport,Sky Uppercut,Sweet Kiss,Switcheroo,,,,,,,Heat Crash,Fire,,,,,,,,,,,,
Lopunny,428,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,Human-Like,Cute Charm,Klutz,Limber,----,Circle Throw,Copycat,Cosmic Power,Double Hit,Encore,Fake Out,Fake Tears,Fire Punch,Flail,Focus Punch,Ice Punch,Low Kick,Mud Sport,Sky Uppercut,Sweet Kiss,Switcheroo,,,,,,,Leaf Tornado,Grass,,,,,,,,,,,,
Mega Lopunny,428,,,♂ 50%,♀ 50%,Normal,Fighting,"5,120",Field,Human-Like,Scrappy,----,----,----,Circle Throw,Copycat,Cosmic Power,Double Hit,Encore,Fake Out,Fake Tears,Fire Punch,Flail,Focus Punch,Ice Punch,Low Kick,Mud Sport,Sky Uppercut,Sweet Kiss,Switcheroo,,,,,,,Steamroller,Bug,,,,,,,,,,,,
Mismagius,429,,,♂ 50%,♀ 50%,Ghost,----,"6,240",Amorphous,----,Levitate,----,----,----,Curse,Destiny Bond,Imprison,Me First,Memento,Nasty Plot,Ominous Wind,Screech,Shadow Sneak,Skill Swap,Sucker Punch,Wonder Room,,,,,,,,,,,Cotton Guard,Grass,,,,,,,,,,,,
Honchkrow,430,,,♂ 50%,♀ 50%,Dark,Flying,"5,120",Flying,----,Insomnia,Super Luck,Moxie,----,Brave Bird,Confuse Ray,Drill Peck,Feather Dance,Flatter,Mirror Move,Perish Song,Psycho Shift,Screech,Sky Attack,Whirlwind,,,,,,,,,,,,Night Daze,Dark,,,,,,,,,,,,
Glameow,431,,,♂ 25%,♀ 75%,Normal,----,"5,120",Field,----,Limber,Own Tempo,Keen Eye,----,Assurance,Bite,Fake Tears,Flail,Last Resort,Quick Attack,Sand Attack,Snatch,Tail Whip,Wake-Up Slap,,,,,,,,,,,,,Psystrike,Psychic,,,,,,,,,,,,
Purugly,432,,,♂ 25%,♀ 75%,Normal,----,"5,120",Field,----,Thick Fat,Own Tempo,Defiant,----,Assurance,Bite,Fake Tears,Flail,Last Resort,Quick Attack,Sand Attack,Snatch,Tail Whip,Wake-Up Slap,,,,,,,,,,,,,Tail Slap,Normal,,,,,,,,,,,,
Chingling,433,,,♂ 50%,♀ 50%,Psychic,----,"6,240",Undiscovered,----,Levitate,----,----,----,Cosmic Power,Curse,Disable,Future Sight,Hypnosis,Recover,Skill Swap,Stored Power,Wish,,,,,,,,,,,,,,Hurricane,Flying,,,,,,,,,,,,
Stunky,434,,,♂ 50%,♀ 50%,Poison,Dark,"5,120",Field,----,Stench,Aftermath,Keen Eye,----,Astonish,Crunch,Double-Edge,Flame Burst,Foul Play,Haze,Iron Tail,Leer,Play Rough,Punishment,Pursuit,Scary Face,Smog,,,,,,,,,,Head Charge,Normal,,,,,,,,,,,,
Skuntank,435,,,♂ 50%,♀ 50%,Poison,Dark,"5,120",Field,----,Stench,Aftermath,Keen Eye,----,Astonish,Crunch,Double-Edge,Flame Burst,Foul Play,Haze,Iron Tail,Leer,Play Rough,Punishment,Pursuit,Scary Face,Smog,,,,,,,,,,Gear Grind,Steel,,,,,,,,,,,,
Bronzor,436,,,○,○,Steel,Psychic,"5,120",Mineral,----,Levitate,Heatproof,Heavy Metal,----,,,,,,,,,,,,,,,,,,,,,,,Searing Shot,Fire,,,,,,,,,,,,
Bronzong,437,,,○,○,Steel,Psychic,"5,120",Mineral,----,Levitate,Heatproof,Heavy Metal,----,,,,,,,,,,,,,,,,,,,,,,,Techno Blast,Normal,,,,,,,,,,,,
Bonsly,438,,,♂ 50%,♀ 50%,Rock,----,"5,120",Undiscovered,----,Sturdy,Rock Head,Rattled,----,,,,,,,,,,,,,,,,,,,,,,,Relic Song,Normal,,,,,,,,,,,,
Mime Jr.,439,,,♂ 50%,♀ 50%,Psychic,Fairy,"6,240",Undiscovered,----,Soundproof,Filter,Technician,----,Charm,Confuse Ray,Fake Out,Future Sight,Healing Wish,Hypnosis,Icy Wind,Magic Room,Nasty Plot,Power Split,Teeter Dance,Wake-Up Slap,,,,,,,,,,,Secret Sword,Fighting,,,,,,,,,,,,
Happiny,440,,,♂ 0%,♀ 100%,Normal,----,"10,240",Undiscovered,----,Natural Cure,Serene Grace,Friend Guard,----,Aromatherapy,Counter,Endure,Gravity,Heal Bell,Helping Hand,Last Resort,Metronome,Mud Bomb,Natural Gift,,,,,,,,,,,,,Glaciate,Ice,,,,,,,,,,,,
Chatot,441,,,♂ 50%,♀ 50%,Normal,Flying,"5,120",Flying,----,Keen Eye,Tangled Feet,Big Pecks,----,Agility,Air Cutter,Boomburst,Defog,Encore,Nasty Plot,Night Shade,Supersonic,,,,,,,,,,,,,,,Bolt Strike,Electric,,,,,,,,,,,,
Spiritomb,442,,,♂ 50%,♀ 50%,Ghost,Dark,"7,680",Amorphous,----,Pressure,----,Infiltrator,----,Captivate,Destiny Bond,Foul Play,Grudge,Imprison,Nightmare,Pain Split,Smokescreen,,,,,,,,,,,,,,,Blue Flare,Fire,,,,,,,,,,,,
Gible,443,,,♂ 50%,♀ 50%,Dragon,Ground,"10,240",Monster,Dragon,Sand Veil,----,Rough Skin,----,Body Slam,Double-Edge,Dragon Breath,Iron Head,Iron Tail,Metal Claw,Mud Shot,Outrage,Rock Climb,Scary Face,Thrash,Twister,,,,,,,,,,,Fiery Dance,Fire,,,,,,,,,,,,
Gabite,444,,,♂ 50%,♀ 50%,Dragon,Ground,"10,240",Monster,Dragon,Sand Veil,----,Rough Skin,----,Body Slam,Double-Edge,Dragon Breath,Iron Head,Iron Tail,Metal Claw,Mud Shot,Outrage,Rock Climb,Scary Face,Thrash,Twister,,,,,,,,,,,Freeze Shock,Ice,,,,,,,,,,,,
Garchomp,445,,,♂ 50%,♀ 50%,Dragon,Ground,"10,240",Monster,Dragon,Sand Veil,----,Rough Skin,----,Body Slam,Double-Edge,Dragon Breath,Iron Head,Iron Tail,Metal Claw,Mud Shot,Outrage,Rock Climb,Scary Face,Thrash,Twister,,,,,,,,,,,Ice Burn,Ice,,,,,,,,,,,,
Mega Garchomp,445,,,♂ 50%,♀ 50%,Dragon,Ground,"10,240",Monster,Dragon,Sand Force,----,----,----,Body Slam,Double-Edge,Dragon Breath,Iron Head,Iron Tail,Metal Claw,Mud Shot,Outrage,Rock Climb,Scary Face,Thrash,Twister,,,,,,,,,,,Snarl,Dark,,,,,,,,,,,,
